rank,word,study_part_of_speech,japanese,reason
2336,dependent,,依存している；扶養されている,adjective form
2343,rival,,競争相手の；ライバルの,adjective usage
2358,adequate,,十分な；適切な,adjective sense
2376,charm,,魅力,noun form
2380,compound,,化合物；合成物,noun form
2381,rescue,,救助する,verb form
2386,league,,リーグ；競技連盟,sports association sense
2400,stroke,,なでる,verb form
2401,dare,verb,あえて～する；思い切って～する,definition is verbal
2404,divorce,noun,離婚,definition is nominal
2405,ruin,,台無しにする；破壊する,verb form
2407,counsel,verb,助言する,definition is verbal
2416,float,verb,浮く；浮かぶ,definition is verbal
2433,successfully,,うまく；成功して,adverb form
2439,mutual,,相互の；互いの,adjective sense
2443,mortgage,noun,住宅ローン；抵当,definition is nominal
2444,promotion,,昇進,selected noun sense
2450,roughly,,おおよそ；だいたい,definition sense
2453,march,verb,行進する,definition is verbal
2455,compromise,noun,妥協；折衷,definition is nominal
2459,salt,noun,塩,definition is nominal
2460,glance,verb,ちらりと見る,definition is verbal
2463,brush,noun,ブラシ；はけ,definition is nominal
2469,format,noun,形式；書式,definition is nominal
2472,embrace,verb,抱きしめる；受け入れる,definition is verbal
2473,praise,verb,称賛する,definition is verbal
2475,pump,verb,ポンプで送る,definition is verbal
2478,golf,noun,ゴルフ,definition is nominal
2485,flash,noun,閃光；フラッシュ,definition is nominal
2490,gesture,noun,身振り；ジェスチャー,definition is nominal
2492,fantastic,,素晴らしい,typo correction
2500,twist,verb,ねじる；ひねる,definition is verbal
2514,click,verb,クリックする,definition is verbal
2518,pile,noun,山；積み重ね,definition is nominal
2525,stake,noun,杭,definition is nominal
2534,chat,verb,雑談する,definition is verbal
2539,boost,verb,促進する；引き上げる,definition is verbal
2545,boom,verb,鳴り響く,definition is verbal
2555,fold,verb,折りたたむ,definition is verbal
2567,craft,verb,手作りする；巧みに作る,definition is verbal
2580,jail,noun,刑務所,definition is nominal
2586,trigger,verb,引き起こす,definition is verbal
2593,mystery,,ミステリー；推理もの,selected noun sense
2594,ski,noun,スキー板,definition is nominal
2595,whisper,verb,ささやく,definition is verbal
2610,regardless,adverb,かまわず；それでも,definition and example are adverbial
2636,interior,,内部の；室内の,adjective form
2643,excess,,過剰；超過,noun form
2681,cluster,verb,群がる；集まる,definition is verbal
2698,genuine,,本物の；心からの,adjective sense
2701,reckon,,思う；推測する；計算する,verb senses
2702,silly,adjective,ばかな；愚かな,definition and example are adjectival
2719,filter,,フィルター；ろ過器,noun form
2726,shade,noun,日陰；陰,definition is nominal
2730,leap,verb,跳ぶ；跳躍する,definition is verbal
2731,snap,verb,パチンと折る；折れる,definition is verbal
2735,swear,verb,誓う,definition is verbal
2742,sigh,,ため息をつく,verb form
2760,organic,,有機の；オーガニックの,adjective form
2772,gaze,noun,凝視；視線,definition is nominal
2783,registration,,登録,noun sense
