rank,word,old_japanese,new_japanese,reason
1050,ride,乗る，乗車,乗る；乗車する,verb sense clarity
1079,flow,フロー,流れる,verb sense correction
1101,progress,進捗,進む；進展する,verb sense clarity
1110,transfer,転送,移す；転送する,verb sense clarity
1134,favor,親切，好む；賛成する,親切；好意,noun sense clarity
1160,labor,労働,働く；労働する,verb sense clarity
1187,crowd,群衆，群がる；押す,群衆；人混み,noun sense clarity
1190,shift,シフト,移る；変化する,verb sense clarity
1197,spread,広げる，広がり,広げる；広まる,verb sense clarity
1210,transport,輸送,輸送する；運ぶ,verb sense clarity
1230,smoke,喫煙,喫煙する；たばこを吸う,verb sense clarity
1240,schedule,スケジュール,予定を組む；日程を決める,verb sense clarity
1291,desire,欲望,望む；欲する,verb sense clarity
1310,delay,遅延,遅らせる,verb sense clarity
1327,host,主人，開催する,主催者；主人,noun sense clarity
1331,tire,疲れる；タイヤ,疲れる；疲れさせる,verb sense correction
1341,award,賞,授与する；賞を与える,verb sense clarity
1380,hate,嫌い,嫌う；大嫌いである,verb sense clarity
1388,recall,思い出す，想起,思い出す；想起する,verb sense clarity
1490,suspect,容疑者,疑う；～ではないかと思う,verb sense correction
1498,arrest,逮捕,逮捕する,verb sense clarity
1500,register,登記,登録する；記名する,verb sense clarity
1504,relevant,関連する,関連のある；関連した,adjective sense clarity
1523,secure,安全な,確保する；守る,verb sense correction
1528,label,ラベル，ラベルをつける；名前をつける,ラベル；札,noun sense clarity
1553,abuse,乱用,虐待する；乱用する,verb sense clarity
1565,wed,結婚した,結婚する,verb sense clarity
1604,lock,錠やロック,鍵をかける；ロックする,verb sense clarity
1618,cast,配役,投げる；放つ,verb sense correction
1642,witness,目撃者，目撃する,目撃者；証人,noun sense clarity
1661,peak,頂点に達する,頂点；最盛期,noun sense clarity
1708,protest,抗議,抗議する,verb sense clarity
1713,helpful,役立つ,役に立つ；有用な,adjective sense clarity
1719,joke,冗談,冗談を言う；ふざける,verb sense clarity
1760,remark,発言,発言する；述べる,verb sense clarity
1786,urge,衝動；促す，衝動,強く勧める；促す,verb sense correction
1794,online,主コンピューターと直結されている,オンラインの；インターネットに接続された,adjective sense update
1803,exhibition,～を展示する,展示会；展覧会,noun sense correction
1851,complicate,複雑な,複雑にする,verb sense correction
1897,slide,滑り台,滑る；滑らせる,verb sense correction
1910,chip,削り取る,かけら；小片,noun sense correction
1915,excuse,言い訳,言い訳する；弁解する,verb sense clarity
1924,install,インストール,インストールする；設置する,verb sense clarity
1945,comfort,慰める；楽にする,快適さ；安らぎ,noun sense correction
1996,exhibit,展示,展示する,verb sense clarity
1998,hunt,狩り,狩りをする；狩る,verb sense clarity
2068,crack,割れる，割れ目,ひびが入る；割れる,verb sense clarity
2105,sink,流し,沈む；沈める,verb sense correction
2116,sail,帆,航海する；船で進む,verb sense correction
2140,anger,"怒り, 憤り",怒らせる,verb sense correction
2148,stream,流れる,小川；流れ,noun sense correction
2183,trail,跡，引きずる；後を追う,小道；道；跡,noun sense clarity
2184,trap,わな，わなで捕える,わな；仕掛け,noun sense clarity
2198,breed,繁殖,繁殖させる,verb sense clarity
2207,pose,ポーズ；姿勢,ポーズを取らせる,verb sense clarity
2260,broadcast,放送,放送する,verb sense clarity
2265,bloody,血がついた，ひどく,血まみれの；血のついた,adjective sense clarity
2308,conventional,社会的慣習による,従来の；慣習的な,adjective sense clarity
2352,shower,シャワーを浴びる；浴びせる；たくさん与える,シャワー；シャワー浴,noun sense correction
2378,lecture,講演する，講演,講演；講義,noun sense clarity
2382,mess,混乱，散らかす；混乱させる,散らかった状態；混乱,noun sense clarity
2391,regret,後悔,後悔する,verb sense clarity
2462,contest,競争，争う,競争；コンテスト,noun sense clarity
2464,embarrass,恥ずかしい,恥ずかしい思いをさせる；困らせる,verb sense correction
2596,rear,育てる,後部の；後ろの,adjective sense correction
2683,hurry,急いで,急ぐ,verb sense clarity
2690,hook,フック，フックで吊るす,フック；鉤,noun sense clarity
2706,chase,追いかける，追跡,追いかける；追跡する,verb sense clarity
2715,substitute,代わり，代用する：置き換える,代用品；代役；代わり,noun sense clarity
2716,supplement,補足，補う,補足；補助物,noun sense clarity
2754,suspend,停職・定額,一時停止する；中断する,verb sense correction
2758,stain,染色,汚す；染みをつける,verb sense correction
2774,cough,咳,咳をする,verb sense clarity
