rank,word,part_of_speech,definition,japanese,example
51,what,adverb,asking for information about someone or something,何,What do you need today?
52,up,preposition,move higher; raise,上へ；立って；起こって,Raise up your left hand.
53,some,determiner,used to refer to a person or thing that is not known,いくらかの；ある；およそ,Some details aren't yet known.
54,other,adjective,something else; not the first one,もう一方の；別の；他の，もう一方の人・物；別の人・物；その他,"Not this shirt, the other one."
55,out,preposition,away from the inside or center,外に；外に出て；外れて,You must get out right away.
56,good,adjective,excellent; high quality,良い,These things are good quality.
57,people,noun,human beings in general; plural of person,人々,"The plural of 'person' is 'people', not 'persons'."
58,year,noun,unit of time equal to 12 months,年,A year consists of twelve months.
59,take,verb,to pick up something and go away with it,持ち帰る、取る,Take away this box.
60,no,adverb,being none; not having or being,いいえ，少しの～もない；決して～ない,She no longer despises him.
61,well,adverb,in a good way,上手に；よく,"If you're doing well, that's good."
62,because,conjunction,for a reason,なぜなら～だから,We stayed because it rained.
63,very,adverb,much; great in amount,とても，まさに；非常に,I appreciate it very much.
64,just,adverb,only; a short time ago,正確に；ただ,I was only just in time.
65,come,verb,to move toward someone; go with someone,行く,Come quick towards me!
66,could,auxiliary verb,"used as the past form of can, to show possibility",～できた；たぶん…だろう,He showed what he could do.
67,work,noun,activity you do in order to make money,仕事；作業,You're all about work and money.
68,use,verb,"to do something with, for a task or purpose",使う；利用する,Feel free to use it yourself.
69,than,conjunction,used when comparing two things,～よりも,He looks healthier than he used to.
70,now,adverb,at the present time or moment,今；すぐに；これから；さて；いまや～だから,The right moment is now.
71,then,adverb,at that time not now,あのとき；それから,Things were better then than now.
72,also,adverb,in addition; too; in a similar way,～もまた；同様に；その上,They are also too good.
73,into,preposition,going inside something,～の中へ,I'm going into the house.
74,only,adverb,just one; just that amount or thing; not more than,唯一の；最良の，ただ～だけ；つい～，ただし；～だがしかし,Only one thing counts.
75,look,verb,to turn your eyes in a particular direction,見る,Turn around and look.
76,want,verb,to desire or wish for something; hope for a thing,～が欲しい；望んでいる；～したいと思う,Wish for what you really want.
77,give,verb,to hand over or present something to someone,手渡す,They give presents to one another.
78,first,adjective,coming before all others in time or place,一番最初の,What time is your first class?
79,new,adjective,"not old, recently born, built, or made",新しい,New factories were built.
80,way,noun,how something is done,方法；やり方,I want things done my way.
81,find,verb,to discover something by looking for it,発見する,"What you go looking for, you will find."
82,over,preposition,above; across; more than; on the other side,～の上に,Cross over to the other side.
83,any,adjective,one (thing) of many; some (thing),（疑問文で）何か；いくらか，（否定文で）どれも；少しも，（肯定文で）どれでも,Do you have any questions?
84,after,adverb,"later than another time, or behind something",～後で；～を追って,"After all, tomorrow is another day."
85,day,noun,a period of 24 hours,日,A day has twenty-four hours.
86,where,noun,word you use to ask the location of something,どこ,Where is the nearest station?
87,thing,noun,something you cannot remember the name of,事,You won't remember a thing.
88,most,pronoun,nearly all of something,最も,Most people agreed with us.
89,should,auxiliary verb,used to indicate what is proper or reasonable,～べきである,Tom should have been reasonable.
90,need,verb,to be unable to manage without something; require,必要,You need to manage your stress.
91,much,pronoun,a lot; large amount; a high degree of,たくさんの，非常に；だいたい,There isn't much time left.
92,right,adjective,on side where the hand that most people write with,右の；右に,Write with the right hand.
93,how,adverb,in what way something happens or is done,どのように,How does this system work?
94,back,adjective,behind; to the rear; previous,後ろの；以前の,Please come back tomorrow.
95,mean,verb,to have a particular meaning or value,意味する；価値のある,Do you understand what I mean?
96,even,adverb,as well; too,更に,Even 30 minutes is too long.
97,may,auxiliary verb,used to talk about what is possible,〜してもよい；～かもしれない；～であろう,There may be discussions about it.
98,here,adverb,"in, at, or to this position or place",ここに,"Your place is here, in your father's house."
99,many,adjective,used to refer to a large number of things,多くの，多数,I used many things.
100,such,adjective,"so like, or similar",そのような；とても～な,Such behavior is just like Meg.
